target,model,permutation_index,mae_skill_vs_mean_baseline
contact_angle_deg,Random Forest,17,0.27831877976191777
contact_angle_deg,Random Forest,18,0.17882613095239464
contact_angle_deg,Random Forest,19,0.6772184672619268
contact_angle_deg,Random Forest,20,-0.3591924999999705
contact_angle_deg,Random Forest,21,-0.467620104166631
contact_angle_deg,Random Forest,22,-0.20044422619048774
contact_angle_deg,Random Forest,23,-0.486749077380896
contact_angle_deg,Random Forest,24,-0.20778299107137954
contact_angle_deg,Random Forest,25,-0.22881562499996377
contact_angle_deg,Random Forest,26,-0.4460462351190202
contact_angle_deg,Random Forest,27,-0.3302845238095067
contact_angle_deg,Random Forest,28,-0.28838593750000285
contact_angle_deg,Random Forest,29,-0.5589405357142283
contact_angle_deg,Random Forest,30,-0.4965055505952307
contact_angle_deg,Random Forest,31,-0.24926863095234708
contact_angle_deg,Random Forest,32,0.2289017410714358
contact_angle_deg,Random Forest,33,-0.39592114583330584
contact_angle_deg,Random Forest,34,-0.4562221577380079
contact_angle_deg,Random Forest,35,0.30622592261903137
contact_angle_deg,Random Forest,36,0.06047245535717494
contact_angle_deg,Random Forest,37,0.44661400297617604
contact_angle_deg,Random Forest,38,-0.34943339285710806
contact_angle_deg,Random Forest,39,0.6537654910714252
contact_angle_deg,Random Forest,40,-0.12236254464280094
contact_angle_deg,Random Forest,41,0.1606263988094554
contact_angle_deg,Random Forest,42,-0.195384136904746
contact_angle_deg,Random Forest,43,-0.35585525297615916
contact_angle_deg,Random Forest,44,0.17025852678575504
contact_angle_deg,Random Forest,45,0.8215516964285179
contact_angle_deg,Random Forest,46,-0.36345525297615566
contact_angle_deg,Random Forest,47,0.2049874255952595
contact_angle_deg,Random Forest,48,-0.5264765476189979
contact_angle_deg,Random Forest,49,-0.5152642559523635
contact_angle_deg,Random Forest,50,0.2495052529762134
contact_angle_deg,Random Forest,51,0.44292675595240283
contact_angle_deg,Random Forest,52,0.025702782738108
contact_angle_deg,Random Forest,53,-0.03581244047618526
contact_angle_deg,Random Forest,54,0.5643011904762218
contact_angle_deg,Random Forest,55,0.20370239583335348
contact_angle_deg,Random Forest,56,0.5260895833333521
contact_angle_deg,Random Forest,57,0.08724535714289772
contact_angle_deg,Random Forest,58,-0.44486885416666055
contact_angle_deg,Random Forest,59,-0.12674422619043213
contact_angle_deg,Random Forest,60,0.5694584672619492
contact_angle_deg,Random Forest,61,0.17363924107143092
contact_angle_deg,Random Forest,62,0.3862691369047546
contact_angle_deg,Random Forest,63,0.266573482142892
contact_angle_deg,Random Forest,64,-0.11964802083335258
contact_angle_deg,Random Forest,65,-0.6679138988094557
contact_angle_deg,Random Forest,66,0.07975208333330741
contact_angle_deg,Random Forest,67,0.3857029613095726
contact_angle_deg,Random Forest,68,0.3790497470238421
contact_angle_deg,Random Forest,69,-0.28006604166666804
contact_angle_deg,Random Forest,70,-0.5856001190476263
contact_angle_deg,Random Forest,71,-0.47689866071420184
contact_angle_deg,Random Forest,72,-0.31136519345233893
contact_angle_deg,Random Forest,73,0.03802766369052435
contact_angle_deg,Random Forest,74,0.34562504464290456
contact_angle_deg,Random Forest,75,-0.5380396726190035
contact_angle_deg,Random Forest,76,-0.4133977678570666
contact_angle_deg,Random Forest,77,0.7733224851190599
contact_angle_deg,Random Forest,78,0.656253928571445
contact_angle_deg,Random Forest,79,1.0726693601190114
contact_angle_deg,Random Forest,80,-0.0473376041666711
contact_angle_deg,Random Forest,81,-0.5913164285713748
contact_angle_deg,Random Forest,82,-0.0815215029760985
contact_angle_deg,Random Forest,83,0.5933292410714408
contact_angle_deg,Random Forest,84,-0.4990911011904444
contact_angle_deg,Random Forest,85,-0.5669252232142377
contact_angle_deg,Random Forest,86,-0.6398873214285317
contact_angle_deg,Random Forest,87,-0.048530580357098785
contact_angle_deg,Random Forest,88,0.2708404464285472
contact_angle_deg,Random Forest,89,-0.5595990922618412
contact_angle_deg,Random Forest,90,-0.17847430059522296
contact_angle_deg,Random Forest,91,-0.4302161458333096
contact_angle_deg,Random Forest,92,-0.1427093749999493
contact_angle_deg,Random Forest,93,0.8175505505951861
contact_angle_deg,Random Forest,94,0.2717443898810181
contact_angle_deg,Random Forest,95,-0.41391958333331047
contact_angle_deg,Random Forest,96,0.23115098214287855
contact_angle_deg,Random Forest,97,-0.08792684523806926
contact_angle_deg,Random Forest,98,-0.3080805803570783
contact_angle_deg,Random Forest,99,-0.40633699404759227
contact_angle_deg,Random Forest,100,0.3300099851190801
contact_angle_deg,Random Forest,101,-0.38582473214285784
contact_angle_deg,Random Forest,102,-0.0947257440475866
contact_angle_deg,Random Forest,103,0.07496721726187872
contact_angle_deg,Random Forest,104,0.03856501488099795
contact_angle_deg,Random Forest,105,0.05747691964290169
contact_angle_deg,Random Forest,106,0.05286224702380693
contact_angle_deg,Random Forest,107,-0.12034102678565617
contact_angle_deg,Random Forest,108,0.1616444494048217
contact_angle_deg,Random Forest,109,0.5578164583333525
contact_angle_deg,Random Forest,110,-0.2430125148808706
contact_angle_deg,Random Forest,111,-0.13192964285711284
contact_angle_deg,Random Forest,112,0.2044206101190511
contact_angle_deg,Random Forest,113,0.07092657738098751
contact_angle_deg,Random Forest,114,-0.3940873660713926
contact_angle_deg,Random Forest,115,-0.5414977380952024
contact_angle_deg,Random Forest,116,0.26420162202380837
contact_angle_deg,Random Forest,117,-0.07771373511902979
contact_angle_deg,Random Forest,118,0.29973196428568016
contact_angle_deg,Random Forest,119,-0.5727202529761755
contact_angle_deg,Random Forest,120,-0.38551404761897956
contact_angle_deg,Random Forest,121,0.772280967261878
contact_angle_deg,Random Forest,122,0.27383903273812393
contact_angle_deg,Random Forest,123,-0.14570808035714933
contact_angle_deg,Random Forest,124,-0.022416130952365165
contact_angle_deg,Random Forest,125,0.392000699404786
contact_angle_deg,Random Forest,126,-0.5682372023809314
contact_angle_deg,Random Forest,127,0.15641395833330307
contact_angle_deg,Random Forest,128,-0.1071612351190474
contact_angle_deg,Random Forest,129,-0.5787275595237702
contact_angle_deg,Random Forest,130,-0.6013764732142555
contact_angle_deg,Random Forest,131,-0.14592822916665327
contact_angle_deg,Random Forest,132,-0.3534185119046711
contact_angle_deg,Random Forest,133,0.49789495535716455
contact_angle_deg,Random Forest,134,0.3138572470238117
contact_angle_deg,Random Forest,135,-0.22072139880949848
contact_angle_deg,Random Forest,136,-0.05927041666662447
contact_angle_deg,Random Forest,137,0.5993613095237933
contact_angle_deg,Random Forest,138,0.08428043154761511
contact_angle_deg,Random Forest,139,-0.14782449404764364
