pair_id,material,otsu,unet,dice_gain_unet_minus_otsu
FIBSEM-HPC45-SQ039-Z087,HPC45,0.7835019455252918,0.8873938971113436,0.1038919515860518
FIBSEM-HPC45-SQ044-Z077,HPC45,0.4799414507210235,0.6984789008832188,0.21853745016219533
FIBSEM-HPC45-SQ048-Z113,HPC45,0.7467561172218322,0.8396286948710271,0.09287257764919488
FIBSEM-HPC45-SQ055-Z155,HPC45,0.7982021317580583,0.8286561453849832,0.030454013626924903
FIBSEM-HPC45-SQ057-Z139,HPC45,0.5622648083623694,0.7345573704035269,0.1722925620411575
FIBSEM-HPC45-SQ060-Z072,HPC45,0.5476981290729451,0.7776631593425487,0.22996503026960358
FIBSEM-HPC45-SQ062-Z195,HPC45,0.41914058761603984,0.6811002606210946,0.2619596730050548
FIBSEM-HPC45-SQ063-Z014,HPC45,0.7210117105010558,0.7961191489361702,0.07510743843511436
FIBSEM-HPC45-SQ066-Z045,HPC45,0.6067111296373489,0.7834191456903128,0.17670801605296393
FIBSEM-HPC45-SQ075-Z026,HPC45,0.5191402714932126,0.8159694323923795,0.2968291608991669
FIBSEM-HPC45-SQ079-Z090,HPC45,0.7794603422039119,0.915083274689186,0.13562293248527413
FIBSEM-HPC45-SQ082-Z063,HPC45,0.4874031736481913,0.7200056760400161,0.23260250239182478
FIBSEM-HPC45-SQ087-Z191,HPC45,0.7154080036556003,0.9108752023609977,0.19546719870539742
FIBSEM-HPC45-SQ089-Z029,HPC45,0.5605633802816902,0.8344437714516455,0.27388039116995533
FIBSEM-HPC45-SQ091-Z100,HPC45,0.5053554040895814,0.6633986332574032,0.15804322916782187
