relative_path,sha256,contact_angle_deg,contact_angle_sd_deg,n_contact_angle,contact_angle_value_source,hysteresis_deg,rolloff_angle_deg,pinning_fraction,figure_folder,primer,material,sieving,coating_method,test_type,cycle,spray_cycle,view,image_role,condition_key,duplicate_sha256
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 2/Tape.xlsx,944f3430c64bb29aa8d571fb3f08f59ba32c7023af70697c6ebc0597274cb059,154.73999999999998,2.2421804525469478,5,reported_CA_Stabw,1.6779706790123232,5.0,0.0,Figure 5,PDMS,900C,unknown,spray,tape,2.0,,top,coating,900C|PDMS|unknown|spray|tape|2|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 20/Abrasion.xlsx,794b37772e6f43c2f7930f43d0daa40a984a477755738c273fef84d457d7f534,142.41,1.0524574417365642,10,computed_static_replicates,,,1.0,Figure 5,PDMS,900C,unknown,spray,abrasion,20.0,,top,coating,900C|PDMS|unknown|spray|abrasion|20|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 3/Abrasion.xlsx,b332b2ab013fab51ce004a0d6cc9d19b87c75e1ac4878b8914e446bfc92d84b4,153.875,0.8697636200129797,10,reported_CA_Stabw,2.5789683054442323,5.0,0.2,Figure 5,PDMS,900C,unknown,spray,abrasion,3.0,,top,coating,900C|PDMS|unknown|spray|abrasion|3|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 3/Tape.xlsx,e8ad2de58ec039b607254eac5ff71ba161c3ab1d216be76a506be1b650846803,150.17,1.1952661717349418,5,reported_CA_Stabw,1.208607251603932,5.0,0.1,Figure 5,PDMS,900C,unknown,spray,tape,3.0,,top,coating,900C|PDMS|unknown|spray|tape|3|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 4/Abrasion.xlsx,5ff675afbad83196b17e16d81c5e5ba881defc27b620c5096b6206c0d14d1b4c,152.48,1.3681608695452436,10,reported_CA_Stabw,1.97698620940904,5.0,0.7,Figure 5,PDMS,900C,unknown,spray,abrasion,4.0,,top,coating,900C|PDMS|unknown|spray|abrasion|4|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 4/Tape.xlsx,4dfe25d91fad8cc08cea6d09c4d40c6aeb2507567b2a4732fbd10cce156064a8,147.51000000000002,3.008671735121043,6,reported_CA_Stabw,2.3766405878905723,5.0,0.4,Figure 5,PDMS,900C,unknown,spray,tape,4.0,,top,coating,900C|PDMS|unknown|spray|tape|4|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 5/Abrasion.xlsx,12d61aa7817d313c7db91adbf9ebddc721015fab71e8ef0fab27b97945fdcd2c,150.58500000000004,1.726143889144121,10,reported_CA_Stabw,,8.0,1.0,Figure 5,PDMS,900C,unknown,spray,abrasion,5.0,,top,coating,900C|PDMS|unknown|spray|abrasion|5|sprayna,False
Figure 5/900C SP coatings_abrasion and tape tesing_wetting data/Cycle 5/Tape.xlsx,3ae421822b28d53473e77186d28fbfbb087c87e898d15909db9e9216b9d467f4,146.24,4.695414658367435,5,reported_CA_Stabw,,7.0,1.0,Figure 5,PDMS,900C,unknown,spray,tape,5.0,,top,coating,900C|PDMS|unknown|spray|tape|5|sprayna,False
Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Abrasion test cycle_0_wetting data.xlsx,dfdb685715ffc319371a9545a6aed165321021e8ae1ce3cfad11700e98ee8ce6,151.955,1.1739862874916605,10,reported_CA_Stabw,3.794839529960973,5.0,0.0,Figure 5,PDMS,unsintered,unknown,spray,abrasion,0.0,,top,coating,unsintered|PDMS|unknown|spray|abrasion|0|sprayna,False
Figure 5/Unsintered SP coating_abrasion and tape tesing_wetting data/No calcination_Abrasion test cycle_1_wetting data.xlsx,dfb7618bd3231db53e5e33bdaaecfd6c4a233cf08d507725d4e7d0babd160efc,152.125,1.4240940642163302,10,reported_CA_Stabw,2.632781608132018,6.0,0.1,Figure 5,PDMS,unsintered,unknown,spray,abrasion,1.0,,top,coating,unsintered|PDMS|unknown|spray|abrasion|1|sprayna,False
