condition_id,condition_key,primer,material,sieving,coating_method,test_type,cycle,spray_cycle,n_sem_fields,solid_area_fraction,eq_diameter_median_um,circularity_median,aspect_ratio_median,pore_component_density_per_mm2,edge_density_per_um,nearest_neighbor_spacing_um,texture_glcm_contrast_mean,texture_glcm_homogeneity_mean,texture_lbp_entropy,texture_laplacian_variance,n_property_workbooks,contact_angle_deg,hysteresis_deg,rolloff_angle_deg,pinning_fraction,analysis_unit,coupon_level_inference_allowed
COND-aa1d84b599,binder|PUR|unknown|spray|tape|25|sprayna,PUR,binder,unknown,spray,tape,25.0,,2.0,0.12207306726022565,1.371829175265902,0.7230881263546388,2.0511993351724467,22347.290966959557,3.2541977611203787,2.6702122568692443,2.756034301050049,0.5802669641703557,3.022025015520424,0.13404935598373405,,,,,,condition/test-state,False
COND-b65b0cdf11,binder|unknown|unknown|unknown|none|na|sprayna,unknown,binder,unknown,unknown,none,,,,,,,,,,,,,,,,,,,,condition/test-state,False
COND-cd61e4700f,unsintered|PDMS|unknown|spray|abrasion|0|sprayna,PDMS,unsintered,unknown,spray,abrasion,0.0,,,,,,,,,,,,,,1.0,151.955,3.794839529960973,5.0,0.0,condition/test-state,False
COND-bb480c86fc,unsintered|PDMS|unknown|spray|abrasion|1|sprayna,PDMS,unsintered,unknown,spray,abrasion,1.0,,,,,,,,,,,,,,1.0,152.125,2.632781608132018,6.0,0.1,condition/test-state,False
COND-04a402c9a8,unsintered|PDMS|unknown|spray|abrasion|2|sprayna,PDMS,unsintered,unknown,spray,abrasion,2.0,,,,,,,,,,,,,,1.0,149.70499999999998,,12.0,1.0,condition/test-state,False
COND-1d25c14689,unsintered|PDMS|unknown|spray|abrasion|3|sprayna,PDMS,unsintered,unknown,spray,abrasion,3.0,,,,,,,,,,,,,,1.0,143.78000000000003,,17.0,1.0,condition/test-state,False
COND-f92b9e52b0,unsintered|PDMS|unknown|spray|abrasion|4|sprayna,PDMS,unsintered,unknown,spray,abrasion,4.0,,,,,,,,,,,,,,1.0,145.04,,,1.0,condition/test-state,False
COND-8f7d73de7f,unsintered|PDMS|unknown|spray|abrasion|5|sprayna,PDMS,unsintered,unknown,spray,abrasion,5.0,,,,,,,,,,,,,,1.0,143.73000000000002,,,1.0,condition/test-state,False
COND-15d3d79641,unsintered|PDMS|unknown|spray|tape|0|sprayna,PDMS,unsintered,unknown,spray,tape,0.0,,,,,,,,,,,,,,1.0,153.26999999999998,2.374811512680964,5.0,0.0,condition/test-state,False
COND-6c7234361f,unsintered|PDMS|unknown|spray|tape|1|sprayna,PDMS,unsintered,unknown,spray,tape,1.0,,1.0,0.3885782131523272,6.694870979339597,0.7885244970622721,1.3915622032601016,296.9510233557666,0.5097139137217288,10.383910371643257,4.899990154684742,0.4685426944842079,3.0657436221820884,0.2521556317806244,1.0,148.54,,11.0,0.7,condition/test-state,False
COND-dead526ee7,unsintered|PDMS|unknown|spray|tape|2|sprayna,PDMS,unsintered,unknown,spray,tape,2.0,,,,,,,,,,,,,,1.0,143.26999999999998,,,1.0,condition/test-state,False
COND-c255bb9493,unsintered|PDMS|unknown|spray|tape|3|sprayna,PDMS,unsintered,unknown,spray,tape,3.0,,,,,,,,,,,,,,1.0,141.64,,,1.0,condition/test-state,False
COND-2662028e42,unsintered|PDMS|unknown|spray|tape|4|sprayna,PDMS,unsintered,unknown,spray,tape,4.0,,,,,,,,,,,,,,1.0,141.46,,,1.0,condition/test-state,False
COND-a7fc27d555,unsintered|PDMS|unknown|spray|tape|5|sprayna,PDMS,unsintered,unknown,spray,tape,5.0,,,,,,,,,,,,,,1.0,141.96000000000004,,,1.0,condition/test-state,False
COND-54f8fda123,unsintered|PUR|unknown|spray|abrasion|0|sprayna,PUR,unsintered,unknown,spray,abrasion,0.0,,,,,,,,,,,,,,1.0,154.34499999999997,0.3328235380904346,5.0,0.0,condition/test-state,False
COND-5ca5cbd207,unsintered|PUR|unknown|spray|abrasion|1|sprayna,PUR,unsintered,unknown,spray,abrasion,1.0,,,,,,,,,,,,,,1.0,151.34500000000003,1.2027125863229629,5.0,0.0,condition/test-state,False
COND-bc8aeb9f36,unsintered|PUR|unknown|spray|abrasion|2|sprayna,PUR,unsintered,unknown,spray,abrasion,2.0,,,,,,,,,,,,,,1.0,148.08500000000004,,7.0,0.9,condition/test-state,False
COND-a6b86e862e,unsintered|PUR|unknown|spray|abrasion|3|sprayna,PUR,unsintered,unknown,spray,abrasion,3.0,,,,,,,,,,,,,,1.0,146.05,,11.0,1.0,condition/test-state,False
COND-61cfaacdbf,unsintered|PUR|unknown|spray|abrasion|4|sprayna,PUR,unsintered,unknown,spray,abrasion,4.0,,,,,,,,,,,,,,1.0,145.08,,19.0,1.0,condition/test-state,False
COND-8d1f7de70c,unsintered|PUR|unknown|spray|abrasion|5|sprayna,PUR,unsintered,unknown,spray,abrasion,5.0,,,,,,,,,,,,,,1.0,144.29444444444448,,,1.0,condition/test-state,False
COND-e5ead496c6,unsintered|PUR|unknown|spray|tape|0|sprayna,PUR,unsintered,unknown,spray,tape,0.0,,,,,,,,,,,,,,1.0,152.17000000000002,1.1329184472934533,5.0,0.0,condition/test-state,False
COND-1e8d096144,unsintered|PUR|unknown|spray|tape|1|sprayna,PUR,unsintered,unknown,spray,tape,1.0,,,,,,,,,,,,,,1.0,150.79,1.491485339506189,8.0,0.3,condition/test-state,False
COND-0b63a03cc3,unsintered|PUR|unknown|spray|tape|2|sprayna,PUR,unsintered,unknown,spray,tape,2.0,,,,,,,,,,,,,,1.0,143.62,,9.0,1.0,condition/test-state,False
COND-4c44ef94a3,unsintered|PUR|unknown|spray|tape|3|sprayna,PUR,unsintered,unknown,spray,tape,3.0,,,,,,,,,,,,,,1.0,140.81,,13.0,1.0,condition/test-state,False
COND-2e7b0569cd,unsintered|PUR|unknown|spray|tape|4|sprayna,PUR,unsintered,unknown,spray,tape,4.0,,,,,,,,,,,,,,1.0,140.52000000000004,,18.0,1.0,condition/test-state,False
COND-35893b5480,unsintered|PUR|unknown|spray|tape|5|sprayna,PUR,unsintered,unknown,spray,tape,5.0,,,,,,,,,,,,,,1.0,142.17,,,1.0,condition/test-state,False
