condition_id,condition_key,primer,material,sieving,coating_method,test_type,cycle,spray_cycle
COND-bc8aeb9f36,unsintered|PUR|unknown|spray|abrasion|2|sprayna,PUR,unsintered,unknown,spray,abrasion,2.0,
COND-a6b86e862e,unsintered|PUR|unknown|spray|abrasion|3|sprayna,PUR,unsintered,unknown,spray,abrasion,3.0,
COND-61cfaacdbf,unsintered|PUR|unknown|spray|abrasion|4|sprayna,PUR,unsintered,unknown,spray,abrasion,4.0,
COND-8d1f7de70c,unsintered|PUR|unknown|spray|abrasion|5|sprayna,PUR,unsintered,unknown,spray,abrasion,5.0,
COND-e5ead496c6,unsintered|PUR|unknown|spray|tape|0|sprayna,PUR,unsintered,unknown,spray,tape,0.0,
COND-1e8d096144,unsintered|PUR|unknown|spray|tape|1|sprayna,PUR,unsintered,unknown,spray,tape,1.0,
COND-0b63a03cc3,unsintered|PUR|unknown|spray|tape|2|sprayna,PUR,unsintered,unknown,spray,tape,2.0,
COND-4c44ef94a3,unsintered|PUR|unknown|spray|tape|3|sprayna,PUR,unsintered,unknown,spray,tape,3.0,
COND-2e7b0569cd,unsintered|PUR|unknown|spray|tape|4|sprayna,PUR,unsintered,unknown,spray,tape,4.0,
COND-35893b5480,unsintered|PUR|unknown|spray|tape|5|sprayna,PUR,unsintered,unknown,spray,tape,5.0,
